"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High,401,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,779,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"1,180",,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"2,167",,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,29.4,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,4,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,12.1,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,18.5,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,35.9,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,54.4,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,31.7,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,17.3,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,33.5,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,52,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,0,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,40,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,193,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,522,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,715,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,807,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,6.4,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,0,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,5,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,23.9,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,64.7,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,88.6,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,11.8,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,9.6,,
Regional,Quebec,2410,Nord-du-Québec Region,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,11.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"19,940",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"9,829",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"9,568",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,High,"3,155",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"12,979",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"16,134",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"55,471",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,35.9,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,17.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,17.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,5.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,23.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,29.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,27,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,All service provider groups,Total hospitalization rate,Total,98,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"10,717",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,Low,"5,297",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"5,135",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,High,687,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,Very high,"1,669",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"2,356",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Number of hospitalizations,Total,"23,505",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,45.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,22.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,21.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,High,2.9,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,7.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,10,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,4.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Family medicine,Total hospitalization rate,Total,36.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,98,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,Low,43,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,49,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,High,23,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,90,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,113,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Number of hospitalizations,Total,303,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,32.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,14.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,16.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,7.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,29.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,37.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,General pediatrics,Total hospitalization rate,Total,1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,946,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,481,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,504,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,225,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"4,352",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"4,577",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"6,508",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,14.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,7.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,7.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,3.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,66.9,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,70.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,6.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,9.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"2,804",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,999,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,359,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,247,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,323,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,570,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"4,732",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,59.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,21.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,7.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,5.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,6.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,12,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,1.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,14.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,901,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,Low,515,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,654,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,High,127,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,87,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,214,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"2,284",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,39.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,22.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,28.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,5.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,3.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,9.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Psychiatry,Total hospitalization rate,Total,5.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,Very low,"2,920",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,Low,"1,656",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"2,058",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,High,"1,574",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,Very high,"5,405",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"6,979",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Number of hospitalizations,Total,"13,613",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,21.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,Low,12.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,15.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,High,11.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,39.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,51.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,11.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,All levels,Surgery,Total hospitalization rate,Total,22.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,Very low,"13,479",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,Low,"6,653",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"6,462",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,High,956,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,Very high,"2,800",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"3,756",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Number of hospitalizations,Total,"30,350",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,44.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,Low,21.9,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,21.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,High,3.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,9.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,12.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Percentage of hospitalizations,Total,54.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,General,All service provider groups,Total hospitalization rate,Total,49.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"6,057",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"2,900",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"2,747",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"1,419",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,"4,280",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"5,699",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"17,403",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,34.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,16.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,15.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,8.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,24.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,32.8,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,31.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,9.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,36.3,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,404,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,276,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,359,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,780,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"5,899",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"6,679",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"7,718",,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,5.2,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,3.6,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,4.7,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,10.1,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,76.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,86.5,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,13.9,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,10.4,,
Regional,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,12.3,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"78,824",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"32,967",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"45,608",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,High,"10,859",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"1,081",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"11,940",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"169,339",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,46.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,19.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,26.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,6.4,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,0.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,7,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,4.7,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,All service provider groups,Total hospitalization rate,Total,70.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"29,973",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,Low,"11,044",,
